方向,日期,時間,當量總和,雨量,星期
往東,2016-04-05,06:00:00,265.5,0.0,Tue
往東,2016-04-05,07:00:00,538.0,0.0,Tue
往東,2016-04-05,08:00:00,614.5,0.0,Tue
往東,2016-04-05,09:00:00,1190.0,0.0,Tue
往東,2016-04-05,10:00:00,1647.5,0.0,Tue
往東,2016-04-05,11:00:00,1976.5,0.0,Tue
往東,2016-04-05,12:00:00,2197.5,0.0,Tue
往東,2016-04-05,13:00:00,2072.5847168,0.0,Tue
往東,2016-04-05,14:00:00,2246.0,0.0,Tue
往東,2016-04-05,15:00:00,3497.5,0.0,Tue
往東,2016-04-05,16:00:00,4351.67236328,0.0,Tue
往東,2016-04-05,17:00:00,4301.62695312,0.0,Tue
往東,2016-04-05,18:00:00,4251.5,0.0,Tue
往東,2016-04-05,19:00:00,4201.35593224,0.0,Tue
往東,2016-04-05,20:00:00,4085.0,0.0,Tue
往東,2016-04-05,21:00:00,4125.0,0.0,Tue
往東,2016-04-05,22:00:00,4057.0,0.0,Tue
往東,2016-04-05,23:00:00,3860.90673828,0.0,Tue
往東,2016-04-06,00:00:00,3538.0,0.0,Wed
往東,2016-04-06,06:00:00,295.0,0.0,Wed
往東,2016-04-06,07:00:00,526.499967575,0.0,Wed
往東,2016-04-06,10:00:00,2727.0,0.0,Wed
往東,2016-04-06,11:00:00,2498.0,0.0,Wed
往東,2016-04-06,12:00:00,2343.5,0.0,Wed
往東,2016-04-06,13:00:00,2112.0423584,0.0,Wed
往東,2016-04-06,14:00:00,2044.5,0.0,Wed
往東,2016-04-06,15:00:00,2531.5,0.0,Wed
往東,2016-04-06,16:00:00,2343.5,0.0,Wed
